config,trial_idx,seed,success,branching_ratio,scaling_exponent,correlation_length,max_distance,dynamic_range,mutual_info,avalanche_count,param_connection_p,param_weight_scale,param_inhibitory_fraction,param_transmission_delay,param_distance_lambda,param_v_noise_amp,param_i_noise_amp,critical_score,score_branching,score_scaling,score_correlation_length,score_dynamic_range,score_mutual_info
"{'connection_p': 0.15, 'weight_scale': 2.0, 'inhibitory_fraction': 0.1, 'transmission_delay': 3.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.1, 'i_noise_amp': 0.01}",0,42,True,,1.4842890362126067,10.499718985613963,186.67619023324855,1.82133592366086,0.0686482598450089,569,0.15,2.0,0.1,3.0,0.5,0.1,0.01,0.38859331788479634,0.0,0.9690666108809437,0.05624562496424827,0.3428873550355846,0.3981336722319338
"{'connection_p': 0.1, 'weight_scale': 0.5, 'inhibitory_fraction': 0.45, 'transmission_delay': 0.5, 'distance_lambda': 0.05, 'v_noise_amp': 0.3, 'i_noise_amp': 0.02}",3,45,True,,1.6877657656064005,,186.67619023324855,5.311761710990605,0.01388949819628392,644,0.1,0.5,0.45,0.5,0.05,0.3,0.02,0.38884512515979414,0.0,0.6869240601582214,0.0,1.0,0.08055378147720652
"{'connection_p': 0.25, 'weight_scale': 1.5, 'inhibitory_fraction': 0.45, 'transmission_delay': 2.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.1, 'i_noise_amp': 0.05}",1,43,True,,,,186.67619023324855,1.8146240650064747,0.012500015996054239,0,0.25,1.5,0.45,2.0,0.5,0.1,0.05,0.0828238172940515,0.0,0.0,0.0,0.3416237707448026,0.0724953157254549
"{'connection_p': 0.08, 'weight_scale': 0.2, 'inhibitory_fraction': 0.25, 'transmission_delay': 3.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",2,44,True,,,496696.9458871806,186.67619023324855,1.9715655148637832,0.010325043389181337,2,0.08,0.2,0.25,3.0,0.1,0.05,0.05,0.2867826409591894,0.0,0.0,1.0,0.3711697967897172,0.059881305801048515
"{'connection_p': 0.02, 'weight_scale': 0.1, 'inhibitory_fraction': 0.25, 'transmission_delay': 3.0, 'distance_lambda': 0.1, 'v_noise_amp': 0.05, 'i_noise_amp': 0.05}",6,48,True,,,6.931000154587721,186.67619023324855,1.9191340854756622,0.011314158417541893,0,0.02,0.1,0.25,3.0,0.1,0.05,0.05,0.09280904763236456,0.0,0.0,0.03712846370995444,0.36129897949013184,0.06561779496173643
"{'connection_p': 0.15, 'weight_scale': 0.5, 'inhibitory_fraction': 0.25, 'transmission_delay': 1.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.2, 'i_noise_amp': 0.01}",5,47,True,,1.1572612870342904,253.50899094587922,186.67619023324855,4.069366236930862,0.01351440914248135,488,0.15,0.5,0.25,1.0,0.5,0.2,0.01,0.516633226387547,0.0,0.5038496212683442,1.0,0.7661048176372269,0.07837840831055114
"{'connection_p': 0.15, 'weight_scale': 0.3, 'inhibitory_fraction': 0.2, 'transmission_delay': 2.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.2, 'i_noise_amp': 0.02}",9,51,True,,1.1405893247769234,154022.86506343857,186.67619023324855,3.094588361065863,0.013508318477072966,74,0.15,0.3,0.2,2.0,0.5,0.2,0.02,0.4614464850500871,0.0,0.4873263045238783,1.0,0.5825917142824437,0.0783430847788134
"{'connection_p': 0.15, 'weight_scale': 3.0, 'inhibitory_fraction': 0.1, 'transmission_delay': 1.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.1, 'i_noise_amp': 0.05}",8,50,True,,,8.659270648266984,186.67619023324855,1.2062111162163758,0.013288938294646216,0,0.15,3.0,0.1,1.0,0.5,0.1,0.05,0.07010808185733211,0.0,0.0,0.046386583299388,0.22708306242740436,0.07707076355986812
"{'connection_p': 0.08, 'weight_scale': 0.8, 'inhibitory_fraction': 0.35, 'transmission_delay': 2.0, 'distance_lambda': 0.2, 'v_noise_amp': 0.2, 'i_noise_amp': 0.02}",11,53,True,,1.2539703670806532,9.373555216680984,186.67619023324855,2.39007801228404,0.01194690850980539,65,0.08,0.8,0.35,2.0,0.2,0.2,0.02,0.2515159629810084,0.0,0.6113661316321541,0.050212912557133796,0.44995956940965787,0.0692875036827839
"{'connection_p': 0.3, 'weight_scale': 0.8, 'inhibitory_fraction': 0.1, 'transmission_delay': 1.0, 'distance_lambda': 0.5, 'v_noise_amp': 0.3, 'i_noise_amp': 0.05}",10,52,True,,,5.436488412774759,186.67619023324855,2.0053181846822397,0.010311855261887139,0,0.3,0.8,0.1,1.0,0.5,0.3,0.05,0.09329030051166165,0.0,0.0,0.029122559261478203,0.37752412359406506,0.059804819702764946
